material_id,material_name,material_type,strength_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_kg,cost_per_kg,water_resistance,food_safe,industry_usage,sustainability_rating,co2_impact_index,cost_efficiency_index,material_suitability_score
1,Corrugated Cardboard,Paper-Based,7.5,15.0,0.85,90,0.7,1.2,Medium,True,E-commerce,A,0.04666666666666666,12.5,14.25
2,Molded Pulp,Pulp-Based,6.8,10.0,0.95,95,0.6,1.5,Low,True,Electronics,A,0.06,6.666666666666667,8.566666666666666
3,PLA (Corn Starch),Plant-Based Polymer,8.2,20.0,0.7,0,1.4,2.8,High,True,Food,B,0.06999999999999999,7.142857142857143,7.842857142857143
4,Glass Jar (Virgin),Glass,9.5,30.0,0.0,100,1.8,3.5,High,True,Beverages,B,0.060000000000000005,8.571428571428571,9.571428571428571
5,Aluminum Foil,Metal,5.0,2.0,0.0,95,2.2,4.0,High,True,Food,C,1.1,0.5,1.45
6,Bamboo Fiber,Natural Fiber,8.0,15.0,0.9,85,0.9,2.5,Medium,True,Cosmetics,A,0.060000000000000005,6.0,7.75
7,Mushroom Packaging,Mycelium,6.5,8.0,0.99,0,0.3,3.0,Low,True,Luxury,A,0.0375,2.6666666666666665,3.6566666666666663
8,Recycled HDPE,Recycled Plastic,8.8,25.0,0.1,100,1.2,1.8,High,False,Industrial,B,0.048,13.88888888888889,14.988888888888889
9,Honeycomb Paper,Paper-Based,9.0,40.0,0.88,95,0.8,2.0,Low,False,Furniture,A,0.02,20.0,21.83
10,Kraft Paper,Paper-Based,6.0,5.0,0.9,100,0.5,0.9,Low,True,Apparel,A,0.1,5.555555555555555,7.455555555555556
11,Bio-Based Stretch Film,Plant-Based Polymer,7.2,12.0,0.65,60,1.5,2.2,High,True,Logistics,B,0.125,5.454545454545454,6.704545454545454
12,Recycled PET,Recycled Plastic,8.5,20.0,0.15,100,1.1,1.6,High,True,Beverages,B,0.05500000000000001,12.5,13.65
13,Hemp Plastic,Natural Fiber,8.4,18.0,0.8,50,0.7,3.2,High,False,Automotive,A,0.03888888888888889,5.625,6.925
14,Glassine Paper,Paper-Based,4.5,1.5,0.92,100,0.6,1.4,Medium,True,Bakery,A,0.39999999999999997,1.0714285714285714,2.991428571428571
15,Steel Tin,Metal,9.8,50.0,0.0,100,2.5,3.8,High,True,Pantry,C,0.05,13.157894736842106,14.157894736842106
16,Seaweed Film,Natural Fiber,3.0,0.5,1.0,0,0.1,5.0,Low,True,Food,A,0.2,0.1,1.1
17,Padded Paper Mailer,Paper-Based,6.5,4.0,0.85,90,0.9,1.1,Medium,False,E-commerce,A,0.225,3.6363636363636362,5.386363636363637
18,Carnauba Waxed Paper,Natural Fiber,5.5,3.0,0.95,80,0.8,2.0,High,True,Dairy,A,0.26666666666666666,1.5,3.25
19,Recycled Poly Mailer,Recycled Plastic,7.8,10.0,0.05,100,1.0,0.8,High,False,Apparel,B,0.1,12.5,13.55
20,Jute Fabric Bag,Natural Fiber,9.2,35.0,0.98,100,0.4,2.2,Medium,True,Grains,A,0.011428571428571429,15.909090909090908,17.889090909090907
21,Sugarcane Bagasse,Pulp-Based,6.2,7.0,0.96,90,0.5,1.7,Medium,True,Food,A,0.07142857142857142,4.11764705882353,5.97764705882353
22,Acid-Free Tissue,Paper-Based,2.0,0.2,0.95,100,0.4,1.5,Low,False,Fashion,A,2.0,0.13333333333333333,2.0833333333333335
23,Wood-Pulp Cellophane,Natural Fiber,5.2,2.5,0.9,0,1.1,2.5,Medium,True,Confectionery,A,0.44000000000000006,1.0,1.9
24,Burlap Sack,Natural Fiber,9.5,45.0,0.99,100,0.5,1.9,Medium,True,Agriculture,A,0.011111111111111112,23.68421052631579,25.67421052631579
25,Coconut Husk Fiber,Natural Fiber,7.5,12.0,0.97,0,0.6,2.8,Medium,False,Home Decor,A,0.049999999999999996,4.285714285714286,5.255714285714285
26,Recycled Aluminum,Metal,9.0,25.0,0.0,100,0.3,4.5,High,True,Beverages,A,0.012,5.555555555555555,6.555555555555555
27,Cork Sheets,Natural Fiber,6.0,5.0,0.95,70,0.4,3.5,High,False,Gifts,A,0.08,1.4285714285714286,3.0785714285714283
28,Starch-based Loose Fill,Plant-Based Polymer,2.5,1.0,1.0,0,0.5,1.2,Low,True,Shipping,A,0.5,0.8333333333333334,1.8333333333333335
